case_number,county,quotes
23,Kings,"""The People further made no efforts of due diligence to ascertain and disclose the [evidence] to the defense. Therefore, the COC is invalid on this ground."""
24,Kings,"""In the instant matter the People clearly did not exercise due diligence. On [date redacted], defense counsel put the People on notice that certain items of discovery were still outstanding. The People intentionally disregarded that letter, labeling it a waste of time and frivolous, and alleging the letter indicated there would be more issues to follow. Besides being exceedingly dismissive, their reasoning defies logic and indicates a lack of understanding of the meaning of due diligence."""
25,Queens,"""[T]he Court determines that under the circumstances herein the People did not exercise due diligence prior to filing of the Certificate of Compliance when they failed to provide the [evidence] and routinely disclosed materials of police officer witnesses."""
26,Queens,"""Here, the People have not provided any explanation for the delay in providing the [evidence] to the defense. Specifically, the People have not set forth what efforts were undertaken to expeditiously disclose the [evidence] when they received them and why, despite those efforts, they were unable to provide them to the defense for almost six months."""
27,Kings,"""The People did not make 'reasonable inquiries' to ascertain the missing discovery prior to filing the COC, thus invalidating their COC. Good faith by itself is inadequate where the People fail to use diligence to comply with their discovery obligations."""
28,Kings,"""While the court appreciates that oversights can occur, it cannot find that the People acted diligently when they failed to turn over [evidence] which they had in their possession for over three months while contemporaneously affirming to the court that they had complied with all their discovery obligations."""
29,NY,"""Here, where apparently no efforts were made until the defendant prodded the People, and then disclosure was delayed another month, this court cannot find the People acted with due diligence."""
30,Queens,"""Without any showing that the People have made any inquiry into the [evidence] in the defendant’s case, despite knowing they exist and that they are in their possession, the People have not shown due diligence."""
31,NY,"""Failure to make any attempts to locate this video independently from the police, compounded by the entire interaction’s omission from the original discovery disclosure, constitutes a failure to exercise the requisite due diligence."""
32,Queens,"""Given these deficiencies in the certificate of compliance, the Court finds that the filing of the certificate of compliance on [date redacted], was not made after the exercise of due diligence and, therefore, was not reasonable under the circumstances."""
33,Queens,"""It is the People’s frankness that proves that the filing of the certificate of compliance was not in good faith."""
34,Queens,"""In this case, the Court cannot conclude that the People exercised due diligence to ascertain the existence of material and information subject to discovery before the filing of the initial certificate of compliance."""
35,Kings,"""The Court finds the People’s argument unpersuasive, and further finds lack of due diligence therefore bad faith in the filing of the [date redacted], COC."""
36,Queens,"""Since the People failed to disclose the [evidence] as a part of automatic discovery, the certificate of compliance is [invalid]."""
37,Kings,"""For their part, the People provide scant details on what efforts the prosecution undertook to ensure that they turned over all discovery and complied with their obligations prior to filing their COC."""
38,Queens,"""The Court, here, is similarly unpersuaded that the People exercised due diligence with respect to these three items. The items are routinely produced disclosure materials, including [evidence] of which the People should have been aware and specifically inquired about, prior to Defense requesting it upon receipt of [evidence]."""
39,Kings,"""For the foregoing reasons, the court finds that the People have failed to exercise due diligence and make reasonable inquiries and, therefore their COC and SOR are invalid and illusory, respectively."""
40,Kings,"""The court finds that the People's explanation in the supplemental COC does not expound on when these materials were requested, if the People ever followed up on any such requests, and when these materials were uploaded to their case management system. The People's failure in this regard casts doubt on the validity of the initial COC."""
40,Kings,"""Thus, the court finds that the People have failed to establish due diligence."""
41,Queens,"""Viewed holistically, the People did not exercise due diligence or make reasonable inquiries to obtain and disclose the missing [evidence]."""
42,Kings,"""For the foregoing reasons, the Court finds that the People did not act with good faith and due diligence in failing to disclose discoverable materials. Therefore the People’s COC and SOR are invalid."""
43,NY,"""In declining to disclose materials in their possession, the People engaged in a strategic gamble which did not end in their favor. Under these circumstances, this court cannot find the choice to withhold [evidence] diligent or reasonable."""
44,NY,"""For these reasons, the People’s refusal to provide the [evidence] or adequately describe [their content] 
constitutes a failure to meet their discovery obligations."""
45,Queens,"""The People do not provide the court with any information as to due diligence in obtaining the [evidence] at the outset of the case, or reasons why that information was not disclosed with the [evidence] on [date redacted]."""
45,Queens,"""There is no explanation from the People regarding the basis for the delayed disclosure and, without more, the court cannot assume the delay is reasonable under these circumstances."""
46,NY,"""Here, the court finds that the People did not file their COCs in good faith or reasonably under the circumstances."""
46,NY,"""As the People did not turn over the [evidence] for the six months prior to and six months after the defendant's breath test and made no diligent, good faith effort to do so, the court finds that all of the COCs are improper."""
47,Queens,"""Under the circumstances of this case, the court finds that the People’s certificate of compliance served on defendant and filed with the court on [date redacted], was invalid because it was not filed in good faith and demonstrates a lack of due diligence."""
47,Queens,"""Despite the clarity of CPL § 245.50 that directs a supplement certificate of compliance to be served on the defendant and filed with the court when additional discovery is subsequently provided pursuant to section 245.60 of this article, the People failed to serve the defendant and file with the court a supplemental certificate of compliance for the discovery provided on [date redacted], [date redacted], and [date redacted]."""
48,Queens,"""For these reasons, the People have not met their burden to show due diligence to timely disclose the missing [evidence], and their COC filed without them is invalid."""
49,Kings,"""Thus, the People did not exercise due diligence to ascertain the existence of the document and obtain it."""
49,Kings,"""As such the People’s failure to disclose the command log or exercise any due diligence to obtain the document renders their COC invalid."""
50,Queens,"""The People do not have the discretion to determine which materials are necessary for the Defendant to appropriately defend against the charges and the People cannot be selective on which portions of the records are to be produced. The statue requires the production of ALL the material."""
51,Richmond,"""Here, the People have failed to demonstrate that their initial certificate was proper by articulating any efforts to ascertain the existence of materials related to the [evidence] and to make it available for discovery. Instead, the People only claim, incorrectly, that they have no obligations regarding this material at all."""
52,Queens,"""Based on the information provided by the prosecution, or lack thereof, regarding their efforts to obtain [evidence], this court cannot find that the prosecutor exercised good faith and due diligence."""
53,NY,"""Accordingly, upon consideration of these circumstances, the court finds that the People did not exercise due diligence and good faith and did not act reasonably in their efforts to comply with their discovery obligations."""
54,Queens,"""There is no evidence of good faith or due diligence as to the delayed or outstanding disclosure and the COC filed without the [evidence]."""
54,Queens,"""The People filed their COC without disclosing numerous [evidence]; the COC and statement of readiness filed without those materials, and with no showing of good faith or due diligence, were invalid."""
55,Queens,"""Here, the proffered reasons for the People's delayed disclosure are not satisfactory to this Court. Indeed, the People really offer no reasons for its delay in disclosure pursuant to mandates of the discovery statute, nor do the People show why, with the exercise of due diligence, the omitted discovery material could not have been timely provided as required."""
56,Queens,"""Accordingly, without evidence of due diligence or a showing of special circumstances, the People’s COCs and supplemental COCs filed without the [evidence] is invalid."""
57,Queens,"""In this case, the Court cannot conclude that the People exercised due diligence to ascertain the existence of material and information subject to discovery before the filing of the initial certificate of compliance. The People failed to disclose exculpatory materials [and other evidence]."""
58,Queens,"""The People make no showing of due diligence or good faith in attempts to make those records discoverable."""
59,Kings,"""While the court acknowledges the efforts the People did make to locate the [evidence], it is undisputable that they did not begin searching for it until after they had already filed their initial COC and SOR."""
59,Kings,"""Therefore, for the People to hypothesize that such [evidence] probably doesn’t exist due to police non-responsiveness is insufficient for this court to make a finding of due diligence."""
60,Kings,"""Here, the court finds the People have failed to establish the prerequisite: that their efforts to obtain the missing materials were diligent and reasonable under the circumstances."""
61,Kings,"""The People’s explanation for the lack of discovery is inadequate and does not comport with due diligence nor with reasonable inquiry. Thus, a COC could not have been deemed proper under this scenario."""
62,Queens,"""However, the discovery was not completed because the People failed to provide the [evidence]."""
63,Kings,"""Under these circumstances, the court finds that the People have not timely and diligently complied with their obligations."""
64,Kings,"""Consequently, the court finds that the People’s last-minute effort to obtain the missing discovery cannot constitute good faith or due diligence."""
64,Kings,"""[I]t was improper for the People to file their COC when they knew that [evidence] was still outstanding."""
65,Queens,"""[T]he Court finds that while the People acted in good faith, they failed to exercise due diligence in fulfilling their discovery obligation."""
66,Kings,"""However, the People have given no indication that they fully investigated any potential evidence these officers may have despite the fact that the officers are named in the arresting officer’s activity log as [evidence]. This falls below the standard of due diligence that the statute requires."""
67,Kings,"""Accordingly, the People’s failure to act in good faith and due diligence to ascertain the existence and serve [evidence] renders their CoC invalid."""
68,Kings,"""In sum, the People's COC was invalid for their failure to turn over numerous essential items of discovery."""
69,Queens,"""Since the People failed to disclose the [evidence] as a part of automatic discovery, the certificate of compliance is illusory."""
70,NY,"""Based on the foregoing, the Court finds that the People did not demonstrate good faith, act reasonably or exercise due diligence in their efforts to disclose all impeachment materials to the defendant."""
71,NY,"""Rather than provide a descriptive or meaningful discovery list, the People here provided a list of electronic file names (many, a series of letters and numbers). The People's chosen format undermines the statutory intent and spirit of article 245 to promote openness, fairness, and timeliness of discovery disclosures, and makes the process of assessing the completeness of the People's disclosures more difficult for defendant and the court."""
71,NY,"""As the [evidence] contain statements made by law enforcement [that are discoverable] and the People did not exercise diligence to obtain and disclose them, their original COC was not valid."""
72,Queens,"""Providing summary letters of disciplinary records and a late disclosure with piecemeal underlying records, without any explanation, is not proof of 'due diligence'."""
72,Queens,"""This is not a case where the People were awaiting discovery, reviewing recently received discovery or mistakenly withheld information in good faith; nor is this a situation of inadvertent failure to disclose discovery. Rather, here, the People had a list of officers participating in the defendant’s arrest and knowingly failed to disclose discoverable impeachment material."""
73,Kings,"""Under these circumstances, the Court cannot find that the People exercised due diligence as it relates to these discoverable items."""
74,Queens,"""Since the People failed to disclose the [evidence] as a part of automatic discovery, the certificate of compliance is [invalid]."""
75,Queens,"""Since the People failed to disclose the [evidence] as a part of automatic discovery, the certificate of compliance is [invalid]."""
76,Kings,"""The People’s explanations that they were unaware that materials in NYPD possession existed, and the NYPD did not turn over the [evidence] prior to the filing of the COC are not sufficient to excuse untimely disclosure."""
77,Kings,"""Because the People have not provided an adequate explanation for this error that would allow the court to conclude that it was not due to a lack of diligence, the court must deem the People’s certificate of compliance invalid."""
78,Queens,"""Weighing all the above factors, and taking into account the relevant facts as set forth in the parties’ filings and the court file, the court finds that notwithstanding their good faith, the People failed to exercise due diligence and make reasonable inquiries to ascertain the existence of the [evidence]."""
79,Bronx,"""Moreover, the People failed to describe any due diligence in attempting to obtain the [evidence] prior to filing their COC."""
80,Queens,"""When the People chose not to disclose both the [police misconduct records] that were in their possession, they were not providing [evidence] in their possession as mandated by [the discovery law]."""
81,Queens,"""Indeed, while the People may have acted in good faith, the record indicates an explicit lack of due diligence and failure to exercise reasonable efforts to obtain the [evidence], which they concede is discoverable."""
82,Richmond,"""Even more troubling is that after defense counsel specifically asked the People for these records, the People outright refused to try and obtain them. Obstinance is not due diligence and is certainly not keeping with the legislative intent or spirit of discovery compliance. Accordingly, the Court finds the People’s COC filed on [date redacted], to be invalid, in light of the People’s lack of due diligence and nonexistent efforts to obtain the [evidence] which they had a duty to disclose."""
83,Queens,"""In this case, the prosecution did not diligently seek to ascertain and disclose known discoverable items that were in their possession prior to the filing of their initial COC."""
84,Queens,"""The People have not outlined any diligent efforts to obtain the [evidence] requested by the defendant and merely state they have already disclosed more materials than statutorily required. The Court disagrees."""
85,NY,"""This issue can be simply resolved with a phone call to the complainant, yet the People have made no efforts to ascertain the information. Throughout the entirety of their response, the People have repeatedly thrown their hands up and refused to make any efforts to discover any information about this case."""
86,Kings,"""However, the People did not act with the requisite level of diligence with respect to the [evidence]."""
87,NY,"""These actions do not constitute good faith, nor are they evidence that the People’s decision not to disclose these documents prior to filing their [date redacted] COC was based on case law."""
87,NY,"""For these reasons, the People’s actions with respect to the [evidence] do not constitute due diligence and their COC was invalid for this reason as well."""
88,Queens,"""In the instant case, the People have not shown that they had exercised due diligence in attempting to obtain discoverable [evidence] not in their possession."""
89,Kings,"""The Prosecution argues that they are not in possession of underlying attachments embedded in IAB logs, and that such attachments are not subject to disclosure. However, the materials are in police possession and therefore statutorily in the prosecution's possession."""
90,Queens,"""The People have not met their burden to show due diligence for undisclosed [evidence]."""
91,Queens,"""The People clearly misunderstand their discovery and Brady obligations. [...] There is no reasonable justification for the People’s belated disclosure of the surveillance videos."""
92,Queens,"""The court finds that the People did not exercise due diligence in taking over a thousand days to designate the [person] as a person they intended to call as a witness."""
93,Queens,"""None of the People’s submissions showed that the People attempted to obtain these police disciplinary records prior to the issuance of the certificate of compliance."""
93,Queens,"""Further, the People have not shown that the certificates of compliance were filed in good faith and were reasonable under the circumstances."""
94,Queens,"""In this case, the Court cannot conclude that the People exercised due diligence to ascertain the existence of material and information subject to discovery before the filing of the initial certificate of compliance."""
95,Kings,"""The court finds that the People have failed to act with due diligence in meeting their discovery obligations. The People have failed to make an adequate record of their efforts to obtain the required discovery in a timely manner. Moreover, by their own admission, the People did not even know what encompassed their mandatory disclosure in this case."""
96,Queens,"""Rather, here, the People knowingly failed to disclose discoverable material in their possession without leave of the court or a protective order demonstrating a blatant disregard for the disclosure requirements of the statute."""
97,NY,"""The court cannot find that the People exercised the due diligence and good faith to ascertain and disclose required by [the discovery law] with regard to these items. Accordingly, the People have not filed a valid COC."""
98,Kings,"""In this instance the People did not exercise due diligence and did not make reasonable inquiries to ascertain the [evidence] before they filed their COC."""
99,Kings,"""This court finds that the People did not exercise the requisite due diligence regarding the [evidence] in this matter. First, the People do not cite to any attempts to ascertain the existence of the [evidence] prior to the statutory deadline imposed by [the discovery law] to perform their discovery obligations. Additionally, the People’s [SCOC] inaccurately states that the People were not aware of the existence of the [evidence] despite having been in possession of them prior to the filing of the original COC."""
100,Queens,"""The People provide no explanation for why they did not possess the paperwork. Nor do they identify any efforts they made to obtain the paperwork before certifying their compliance with discovery."""
101,Kings,"""The People instead chose not to comply and disobey a court order."""
101,Kings,"""The People ignored the Court Order and failed to provide the said [evidence] to the defense."""
102,Kings,"""The court finds that the People have not acted with due diligence in meeting their discovery obligations and have provided no excuse for their unreasonable delay."""
103,NY,"""The court finds that the People did not exercise due diligence and good faith with respect to disclosing the [evidence]."""
104,NY,"""In addition, the People’s response is silent and fails to provide any factual basis to establish good faith, or due diligence to expeditiously provide any missing materials by their office."""
105,Queens,"""For these reasons, the People have not established due diligence to provide the [evidence], and their COC filed without them is invalid."""
106,Kings,"""Instead, the People chose to withhold discoverable material, contrary to the clear language of [the discovery law]."""
107,Kings,"""Therefore, the Court cannot find that good faith and due diligence were exercised in preparing the People’s COC."""
108,Kings,"""As such, the People’s [date redacted], Certificate of Compliance is invalid for failing to disclose [misconduct records] for potentially testifying officers."""
109,Queens,"""The type of COC that the People are hereby advancing – one in which the People certify that they anticipate serving, but have not actually served, discovery on defense counsel – is not one contemplated by the statute."""
110,Queens,"""It is unclear why the People waited seven months after filing their original COC to first speak to an officer regarding how the police were brought to the scene. Any miscommunication, or lack of communication, between law enforcement and the district attorney’s office relates directly back to the People’s statutory obligation to maintain adequate flow of information in order to properly certify discovery compliance."""
110,Queens,"""It is unclear what type of inquiry the certifying assistant district attorney conducted in order to come to a false conclusion that this document did not exist."""
111,Queens,"""Thus, the Court cannot conclude that the People exercised due diligence to ascertain the existence of all material and evidence subject to discovery prior to filing their initial certificate of compliance and statement of readiness on [date redacted]."""
112,Queens,"""The Court finds that the People did not exercise due diligence and good faith in obtaining discovery materials."""
113,Bronx,"""The court rejects the People’s assertion that their single attempt to obtain the missing [evidence] on [date redacted] constituted the due diligence and reasonable inquiry."""
114,Bronx,"""The Court is not convinced that the People acted with due diligence in obtaining and disclosing materials subject to [the discovery law]."""
115,Bronx,"""Therefore, the People should not have certified their compliance without disclosing these documents to the defendant, including [evidence]"""
116,Kings,"""The court does not agree with the People that they demonstrated due diligence and their delay in disclosing the [evidence] can be excused as inadvertent error; the People have not listed any efforts to obtain the material prior to the filing of their COC."""
117,Queens,"""Adding extraneous discovery to the disclosure while neglecting one of the most vital pieces of discovery undercuts a finding of due diligence. A reasonable ADA acting in good faith and with due diligence might make some oversights during the discovery process but he or she would also be expected to turn over the most-important evidentiary items and not share dozens of unrelated items."""
118,Kings,"""Because the [evidence] and [police disciplinary records] were with the NYPD, the court cannot find that the People acted with the necessary good faith and due diligence to timely obtain the belatedly disclosed materials."""
119,Kings,"""The Court finds that the People failed to act in good faith and with due diligence when disclosing [evidence obtained] by the NYPD."""
120,Kings,"""This court does not find that the People acted with the requisite due diligence to ascertain the existence of any [evidence] and make them available for discovery as required by [the law]."""
121,NY,"""As such, the People failed to show that they made diligent, good faith efforts to obtain the [evidence] disclosure, and their COC and subsequent SCOCs are invalid."""
122,Bronx,"""The court finds the People’s explanation insufficient to demonstrate the use of good faith and due diligence in attempting to obtain the belatedly disclosed materials prior to the filing of their COC."""
123,Kings,"""In this instance the People did not show due diligence in obtaining and disclosing mandatory discovery. The People knew about the [evidence], did not disclose them, and then 'certified' that they had disclosed all known material."""
124,NY,"""As such, the court finds that the People did not exercise due diligence and make reasonable efforts to obtain these materials."""
125,Queens,"""The People have failed to timely turn over relevant disciplinary records of all officers listed as having information related to this case in their COC and have not demonstrated due diligence in obtaining the relevant documents in their constructive possession."""
126,Queens,"""It is unreasonable for a prosecutor seeking to satisfy his or her discovery obligations to file a COC knowing that not all [evidence from] named officers are disclosed, let alone [evidence from] an arresting officer."""
127,NY,"""The People's assertion of 'good faith' is also misplaced. 'Good faith' and 'due diligence' in the context of the discovery statute concern the People's effort to ascertain the existence of discoverable material and to make that material available to the defense. The People have shown no efforts in that regard."""
127,NY,"""For these reasons, the People's refusal to provide the [evidence] renders their COC and supplemental COCs invalid."""
128,Kings,"""Considering the People's considerable delay in producing the [evidence] coupled with the failure to exercise due diligence prior to filing the COC, the People failed to comport with their statutory obligation as it relates to this document."""
129,Kings,"""The only conclusion supported by the record before the court is that the People unjustifiably failed to adhere to the automatic discovery requirement prior to filing the COC. These failures persist as the People, to date, have not served any supplemental discovery."""
129,Kings,"""As the People have utterly failed to meet their burden in establishing that they did, in fact, exercise diligence and make reasonable inquiries prior to filing to COC, defendant's motion to invalidate the [date redacted] COC is granted."""
130,NY,"""The Court finds that the People’s explanations regarding their efforts to obtain and disclose the records at issue prior to filing their COC falls short of the due diligence standard set forth by the New York State Legislature."""
130,NY,"""Furthermore, the People were in possession of some of the discovery prior to the filing of the COC and they decided not to disclose those documents to the Defendant."""
131,NY,"""The People here made no effort to seek the [evidence], not even after a specific request from the defendant or after the court on [date redacted] stated that they would be discoverable if they contain statements."""
132,Kings,"""The Court would have to conclude that the People likely did not even view the [evidence] they did turn over to defense with their original COC, otherwise they would have determined, as the defense did, that there were other officers [from whom evidence was to be obtained]."""
132,Kings,"""Accordingly, this court cannot deem that the original COC filed on [date redacted], was filed in good faith, after exercising due diligence and finds that the People’s initial certificate of compliance was not filed in good faith and is not valid."""
133,Kings,"""Accordingly, the Court cannot find that due diligence nor good faith were exercised prior to the filing of the initial COC."""
134,Richmond,"""The Court finds that although the People did act with good faith in attempting to comply with their discovery obligations, they did not exercise due diligence in those efforts."""
135,Queens,"""In this case, the Court cannot conclude that the People exercised due diligence to ascertain the existence of [evidence] subject to discovery before the filing of the certificate of compliance."""
136,NY,"""The People’s concession that they did not disclose this required discovery is made without any information upon which the court can engage in a due diligence analysis."""
137,Bronx,"""The People merely respond that these items are not discoverable, with no further explanation."""
138,Kings,"""Without such information from the Prosecution on their efforts to locate and secure these materials, this Court cannot conclude that the People acted in good faith or with due diligence in obtaining the [evidence]."""
139,Kings,"""The belated disclosures all consisted of items either imputed to be in the People’s possession, or in the People’s actual possession, and all resulted from the People’s lack of diligence."""
140,Queens,"""The People make no showing of due diligence to disclose the [police disciplinary records] with their original COC and do not explain why the disclosure was delayed until [date redacted]. For these reasons, the People’s COC filed without [police disciplinary records] for their testifying officer-witness is invalid."""
140,Queens,"""For these reasons, the People have not shown due diligence to disclose the audit trails associated with the police video in the defendant’s case and their COC is invalid on this basis as well."""
141,Queens,"""In the instant case, the People have not shown in their answer that they had exercised due diligence in attempting to obtain discoverable reports or materials not in their possession, nor did the People state that they made any attempt to obtain the [evidence] prior to the issuance of the certificate of compliance."""
142,Queens,"""The People have not provided sufficient facts, including dates, that would show a diligent, good faith effort to disclose the [evidence]. Accordingly, the court finds the COC is invalid."""
143,Queens,"""For these reasons, without any showing of the People’s diligent efforts to obtain and disclose the [evidence] in the defendant’s case, the People’s COC is invalid on this basis."""
144,Kings,"""Accordingly, the People’s failure to timely disclose the [evidence] renders invalid the COC filed on [date redacted]."""
145,Kings,"""Not only did they utterly failed [sic] to adhere to a court order regarding outstanding discovery, but they completely ignored their deadline to submit their response. This flagrant disregard to court’s directive and complete inaction by the People is unacceptable."""
146,Queens,"""In these circumstances, the Court finds that the People failed to 'exercis[e] due diligence and mak[e] reasonable inquiries to ascertain the existence of' the [evidence] and, thus, their COC was not filed in good faith."""
147,Kings,"""This court finds that the People’s COC is invalid due to the failure to disclose discoverable material prior to filing the COC, failure to file the COC in good faith, and failure to exercise due diligence in ascertaining whether certain discoverable material exists."""
147,Kings,"""Given the People’s lack of due diligence in ascertaining the existence of and obtaining several discoverable documents as detailed above, the People’s filing of the COC was not in good faith and was not reasonable under the circumstances."""
148,Queens,"""The People cannot meet their burden of showing good faith in obtaining the [evidence]."""
148,Queens,"""On [date redacted] — 50 days after being informed of this missing items [by the defense] — the assigned-ADA emailed the arresting officer and asked [about the missing evidence]."""
149,Queens,"""Based on the above-described circumstances, the court finds that the People did not exercise diligent efforts to obtain the [evidence] in this case."""
149,Queens,"""It was not reasonable under these circumstances for the People not to follow up on the existence of a [evidence] after one sole attempt to obtain it prior to filing their COC."""
150,Kings,"""However, the facts in this case, as described below, fail to establish that the People engaged in diligent, good faith efforts to obtain the materials."""
150,Kings,"""Here, the People's failure to request [evidence] until only 3 days remained to meet the [legal deadline], speaks to a lack of due diligence."""
151,NY,"""[T]he court finds that the People's instant impermissible withholding of discoverable information is, in light of the plain language of the statute, patently unreasonable."""
152,Kings,"""The People offer no reasonable excuse for their failure to access the records within their available window, or for their failure to realize their error and obtain them between [date redacted] and [date redacted]."""
152,Kings,"""As stated supra, the court finds the People’s position on this issue to be disingenuous and rejects it."""
153,NY,"""After having considered the delay in disclosing the [evidence], the Court finds that due diligence was not properly set forth. The COC is, therefore, invalid."""
154,Richmond,"""The court finds that the People did not exercise due diligence prior to their filing of the COC in the instant case."""
155,Bronx,"""However, given the People's failure to respond to the defendant's motion, despite Court directives to do so, the Court cannot evaluate whether the People proceeded in their discovery efforts with 'due diligence' and whether they filed their COCs 'in good faith'."""
156,Kings,"""The Court cannot say that the COC was filed in good faith where the People knew these [items of evidence] exist, knew them to be discoverable, and knew they did not have them at the time the COC was filed."""
157,Queens,"""Here, the People failed to timely disclose underlying disciplinary records for their testifying officer."""
157,Queens,"""Thus, the court finds that the People's initial COC was not filed in good faith after exercising diligent efforts to disclose said records."""
158,Kings,"""The court finds that the People did not exercise due diligence in providing the defendant with the [evidence] prior to the filing of the People’s original COC. Even if it was an error, a prosecutor exercising due diligence would have then turned the items over immediately upon being alerted to its omission, not 44 days later, after numerous communications from the defense regarding the missing item."""
158,Kings,"""Accordingly, this court cannot deem that the original COC filed on [date redacted], was filed in good faith, after exercising due diligence and finds that the People’s initial certificate of compliance was not filed in good faith and is not valid."""
159,NY,"""This Court finds that failure to secure and produce the underlying materials for the [police disciplinary records] invalidates the previously filed COC on [date redacted]."""
159,NY,"""Looking at this case specifically, the Court cannot find that the People made reasonable efforts to satisfy their discovery obligations."""
160,NY,"""As the record before the Court shows that the People failed to exercise such due diligence, the Court finds that the People’s COC filed on [date redacted] is invalid."""
161,Queens,"""Rather, here, the People had a list of officers participating in the defendant’s arrest and knowingly failed to disclose discoverable [disciplinary] material in their constructive possession without leave of the court or a protective order, demonstrating a blatant disregard for the disclosure requirements of the statute."""
162,Queens,"""Due diligence encompasses examining the files disclosed to opposing counsel to ensure all discoverable mateial is included [...] These reports were in the People's possession, and the failure to disclose them to the defendant, without evidence of special circumstances, invalidates the People's COC."""
163,Bronx,"""However, in the context of this case, these minimal efforts were insufficient to meet the standards of due diligence and reasonableness set forth in the statute."""
164,Bronx,"""Because the People did not establish that they exercised due diligence prior to filing the initial Certificate of Compliance, the People's Certificate of Compliance is deemed invalid."""
