case_number,county,quotes
7,Kings,"""The steps that the People were required to take included examining the arrest checklist and watching the [evidence] (CPL 245.50 [1]; see People v Adrovic, 69 Misc3d 563, 572 [Crim. Ct. Kings County 2020]; People v Edwards, 77 Misc3d 740, 748 [Criminal Ct, Bronx County 2022]): [finding a lack of due diligence upon a showing that the prosecution failed to actually review the evidence that was disclosed or speak directly with the officers involved])."""
7,Kings,"""While “[h]onest errors may well be excusable,” the People are required to take some action in order to meet their obligation to exercise due diligence (People v Adrovic, 69 Misc3d 563, 570 [2020][finding the prosecution failed to set forth the steps that were taken in order to meet the due diligence requirement prior to filing the COC))."""
7,Kings,"""The People did not do the bare minimum of looking at what discovery was in their actual possession. Rather, the People assumed that they had all of the [evidence] that they were required to turn over to the defense."""
7,Kings,"""The People failed to disclose the names and contact information for these witnesses. The People’s Opposition omits any factual basis as to their due diligence with respect to any of the witnesses prior to filing the COC."""
7,Kings,"""In light of this binding and persuasive authority, the court finds that the People’s failure to disclose the totality of impeachment material available for testifying officers renders the COC invalid."""
8,Richmond,"""Because the People were seemingly unaware that their witness was not available on the morning of [date redacted], this Court cannot find that the People undertook credible, vigorous activity to make this necessary witness available on [date redacted]."""
8,Richmond,"""That no further information was offered on the afternoon of [date redacted], supports the Court’s conclusion."""
8,Richmond,"""Even in response to the instant motion, the People have offered scant information regarding the officer’s unavailability."""
8,Richmond,"""On this record, the Court finds that the People have not proven that they exercised due diligence to obtain the testimony of the arresting office, a material witness, on [date redacted]."""
8,Richmond,"""For the same reasons stated above, including the lack of information provided by the People on the record as well as the lack of information offered in response to this motion, the Court does not find the People have met their burden to exclude this one day."""
9,Kings,"""The People do not establish due diligence here."""
9,Kings,"""The People do not establish an effort of due diligence to comport with their duties here."""
9,Kings,"""Thus, the court finds that the People failed to demonstrate that they acted with due diligence to ascertain the calibration reports for the Intoxilyzer 9000."""
9,Kings,"""As the People have not, the court finds that the People failed to comply with their duties here."""
9,Kings,"""Therefore, the court finds that the People did not exercise due diligence here."""
10,NY,"""Contrary to the People’s assertions, 'CPL 245.20, fairly read, is not limited to impeachment material directly pertaining to the defendant’s own case, but to general credibility as well (citations omitted)'"""
10,NY,"""A summary of an officer’s disciplinary history is insufficient."""
10,NY,"""Additionally, '[n]ondisclosure is not excused by the People’s sincere belief that certain material in their possession, or deemed to be in their possession, is not discoverable: 'The list of what types of evidence must be disclosed was determined by the Legislature''"""
10,NY,"""Contrary to the People’s assertions, the Court finds that body-worn camera audit trail logs are discoverable for the reasons set forth in People v. Ballard, 82 Misc3d 403 (Crim Ct, Queens County 2023)."""
10,NY,"""After having considered the failure to disclose the abovementioned disciplinary records and the body-worn camera audit trail logs in conjunction with the factors listed in People v. Bay, 200, 212 (2023) for assessing due diligence, the Court finds that due diligence was not properly set forth."""
11,Queens,"""As a result, the Court finds the charge of VTL § 511 [1] [A] to be facially insufficient and hereby dismisses that count."""
11,Queens,"""This Court disagrees with the People and finds that the aforementioned calibration records were discoverable pursuant to CPL § 245.20(1)(s)."""
11,Queens,"""Therefore, this Court finds the People’s COC filed on [date redacted], to be improper, and strikes the SOR related thereto."""
11,Queens,"""Because the defendant’s speedy trial motion is dependent on this court finding the People’s COC invalid, and the Court has deemed the COC invalid herein, any declaration of trial readiness by the People in the instant matter, is also deemed invalid."""
11,Queens,"""The speedy trial clock ran continuously for one hundred fifty-nine (159) days, all of which are chargeable to the People, from the day of defendant’s arraignment on [date redacted], until the instant motion was filed with the Court, stopping the clock, on [date redacted] (see CPL § 30.30 [4] [a]). This period exceeds the 90-day time frame allowed under CPL § 30.30 (1) (b)."""
12,Kings,"""Here, the People have failed to meet their initial statutory obligation within the 35-day automatic discovery period, which ended on [date redacted]."""
12,Kings,"""In support of their contention that they exercised due diligence in obtaining initial discovery, the People only offer conclusory allegations."""
12,Kings,"""Nor do the People indicate the outcome of such inquiries."""
12,Kings,"""To the extent that they received discovery prior to [date redacted], the People did not provide the defendant with any of the obtained materials by that deadline as required by CPL § 245.10(1)(a)(ii)."""
12,Kings,"""The People exceeded the mandated discovery timeframe by fifty-two days."""
13,NY,"""Yet, such materials were not disclosed to Defendant prior to, or contemporaneously with, the [date redacted], COC, even though the photographs and video were in the possession of the prosecutor, and the memobooks were in the possession of law enforcement, and thus the prosecutor."""
13,NY,"""What the People may not do is file a [COC] in which they claim to have exercised due diligence and turned over all known material and information . . . while at the same time not actually turning over all known material and information, without express permission of the Court."""
13,NY,"""In sum, their response fails to provide the court with a factual basis to support a finding of due diligence."""
13,NY,"""The People also never sought judicial intervention with respect to the memobooks and their efforts to comply with their discovery obligations, nor did they claim that good cause existed to extend the time for compliance."""
13,NY,"""Moreover, that the officers were employed by the MTA is of no consequence, as the statute is clear that material 'in the possession of any New York state, or local police or law enforcement agency shall be deemed to be in the possession of the prosecution'."""
14,Kings,"""The People have not established to the court’s satisfaction that they have acted diligently and have made good faith and reasonable efforts in complying with their discovery obligations."""
14,Kings,"""Therefore, the People’s COC and SOR filed on [date redacted], are deemed illusory."""
14,Kings,"""The record is bereft of any special circumstances excusing the People’s failure to timely comply with their discovery obligations upon filing their COC."""
15,Kings,"""The People, in their Affirmation, have not established to the court’s satisfaction that they have acted diligently and have made good faith and reasonable efforts in complying with their discovery obligations."""
15,Kings,"""They point to the large amount of discovery they provided to the defense but fail to provide the court with adequate details of their diligent, good faith efforts in providing the defense with the activity logs and inspection photographs/report mandated by CPL 245.20(1)."""
15,Kings,"""Therefore, the People’s COC and SOR filed on [date redacted], are deemed illusory."""
16,Kings,"""Thus, defendant’s assertion that an I-Card is also known as a wanted flyer (Defendant’s Reply at 6) is incorrect. In addition, the People’s assertion that a DDS report that speaks about the issuance of an I-Card is the equivalent of an actual I-Card (People’s Response at 5) is also incorrect."""
16,Kings,"""This court finds it unacceptable that no effort was made to obtain this text message at the inception of this case or preserve this evidence and turn it over to defendant."""
16,Kings,"""Here, there is no evidence that the People made any specific requests for this text message at issue until after the initial COC was already filed."""
16,Kings,"""This court finds that the People did not exercise due diligence in making reasonable inquires to obtain and preserve the identifying text message from the complainant to the arresting officer, Officer [name redacted]."""
16,Kings,"""This court finds that the People did not exercise due diligence in obtaining information on Officers [names redacted] prior to filing their COC and SOR."""
17,NY,"""Each time defense counsel delved deeper into the discovery materials provided he found more lapses in the People’s discovery obligation requiring them to file additional supplemental COCs."""
17,NY,"""A supplemental COC is not intended to provide the People with additional opportunities to turn over material they should have disclosed in the first instance."""
17,NY,"""However, the balance of the People’s late disclosures were materials that should have been provided prior to the initial COC, to wit: underlying records for substantiated and unsubstantiated police disciplinary matters; [evidence] created prior to the initial COC; [evidence] already possessed by law enforcement; and 28 pages of police notes and an officer’s activity log the People concede they possessed prior to the initial COC but mistakenly failed to disclose."""
17,NY,"""Unfortunately, here the sheer volume and nature of material the People failed to disclose prior to the initial COC undermines any reasonable belief that the People used due diligence in providing discovery to the defense."""
17,NY,"""Even allowing for minor lapses in the normal course, after the defense repeatedly advised the People of their discovery failures, the People should have undertaken a wholesale review of their initial disclosure, quickly recognized significant deficiencies and remedied them without having to be continually notified by the defense."""
18,NY,"""The arraignment card for this case is automatically discoverable and should have been disclosed prior to the People’s initial COC."""
18,NY,"""These arguments demonstrate an ignorance of the law."""
18,NY,"""This court does not comprehend why the People continually expect the defense to articulate how they plan to use a police document that the defense does not have access to in order to justify its disclosure, especially when they concede that the document was 'produced in connection with the case.'"""
18,NY,"""The People’s argument that the roll call logs are not related to the subject matter of the case and not automatically discoverable is unpersuasive."""
18,NY,"""Therefore, the People’s failed to exercise due diligence in disclosing complete and unredacted IAB files for their testifying officer."""
19,Queens,"""While the omission to include 911 calls in this list may be in good faith, the People failed to act with due diligence and reasonableness - the cornerstone of Article 245."""
19,Queens,"""These facts lead this Court to the conclusion that the 911 calls should have been obvious to a prosecutor acting with due diligence."""
19,Queens,"""While the People assert that they filed their certificate in good faith and with due diligence, this essential discovery was missing, and the People have failed to put forth a basis from which this Court can find they performed due diligence with reasonableness."""
19,Queens,"""Given the significance of this discovery and the lack of record from the People regarding the belated disclosure of mandated discovery, the People's [date redacted] COC and SOR are deemed illusory."""
19,Queens,"""Therefore, this Court cannot find that the People acted with due diligence, reasonableness and good faith with regard to this discovery."""
20,Kings,"""The memobook remains outstanding."""
20,Kings,"""The People failed to demonstrate due diligence regarding this item of discovery."""
20,Kings,"""The People have not established an effort of due diligence to comport with their duties here."""
20,Kings,"""The People have not established a diligent effort in ascertaining and disclosing this material."""
20,Kings,"""For the foregoing reasons, the court finds that the People’s COC is invalid."""
21,Bronx,"""Since 'defendant could not have been brought to trial before arraignment, the process by which the court acquires jurisdiction over the defendant...[{and] is an elemental prerequisite to trial readiness' (People v England, 84 NY2d at 5), this court finds that the People’s statement of readiness filed on the 90th chargeable day was 'meaningless' and insufficient to satisfy CPL § 30.30."""
21,Bronx,"""Therefore, it was impossible for defendant to be arraigned on that instrument prior to the 91st day of chargeable time."""
21,Bronx,"""It is undisputed that the initial complaint was not replaced by an information - nor converted by a supporting deposition - until a superseding information was filed by the People after the close of business (at 6:28 pm), on the last day of the CPL § 30.30 time period ([date redacted])."""
21,Bronx,"""This court finds that the People’s statement of readiness filed on the 90th chargeable day was 'meaningless' and insufficient to satisfy CPL § 30.30."""
21,Bronx,"""The People’s 'unexplained laxity' in filing the superseding information (People v England, 84 NY2d at 5; People v Kendzia, 64 NY2d 331, 337 [1985]) demonstrates that the People were not actually ready for trial on the 91st day; therefore, the defendant’s motion to dismiss on speedy trial grounds pursuant to CPL §§ 30.30 and 170.30 (1)(e) is granted."""
22,Kings,"""The People’s failure to exercise due diligence to produce the [evidence] in this matter renders the People’s COC invalid."""
22,Kings,"""It is unclear how the People are using the term 'investigatory' here."""
22,Kings,"""Furthermore, the People cite no legal authority that allows them to withhold such material."""
22,Kings,"""As such, this court rejects the People’s argument that they 'made a good faith legal interpretation of the statute' in failing to disclose the materials referenced in the [evidence]."""
22,Kings,"""The Court finds that the SOR was illusory given the invalidity of the People’s COC."""
23,NY,"""Thus, the COC was filed at a time when known material, subject to discovery, '[had not] actually [been] produced to the defendant' (Ferro, 197 AD3d at 788), rendering it invalid."""
23,NY,"""Indeed, '[w]hat the People may not do is file a [COC] in which they claim to have exercised due diligence and turned over all known material and information... while at the same time not actually turning over all known material and information, without express permission of the Court' (Adrovic, 69 Misc 3d at 574 [internal quotations omitted])."""
23,NY,"""With respect to the lost information about the second civilian witness, contrary to the People’s contentions, they have failed to demonstrate that they made diligent and good faith efforts prior to the filing of their initial COC."""
23,NY,"""Nor is the court persuaded by the argument that the delay in contacting police about the second witness is somehow excusable because the information was lost within the 90-day statutory speedy trial period."""
23,NY,"""In sum, the People’s response fails to provide the court with a factual basis to support a finding of due diligence."""
24,Queens,"""The People admit that the disclosed activity logs were incomplete and 'none of the memo books cover the officer’s entire tour of duty'."""
24,Queens,"""Indeed, the People have still failed to disclose the complete memobooks of the involved officers, in particular the numerous missing entries covering the time period of the investigation into the alleged offense and, therefore, related to the subject matter of the offense."""
24,Queens,"""Here, the People failed to indicate what efforts, if any, were made to acquire this evidence prior to the filing of their certificate of compliance."""
24,Queens,"""The People do not argue that this case is particularly complex, do not explain the discovery lapse, and did not take efforts to provide the completed memobooks once they were apprised of the missing portions."""
24,Queens,"""This Court rejects the People’s assertion that defendant must show prejudice in order to invalidate a certificate of compliance."""
25,Richmond,"""But good faith is, by itself, inadequate where the People fail to use due diligence to comply with their discovery obligations."""
25,Richmond,"""The failure to disclose an IDTU video in a DWI case is not a de minimis oversight, nor is it consistent with due diligence."""
25,Richmond,"""Had the People carefully reviewed both AXON share file lists, and reviewed, or attempted to review the IDTU video, before filing their CTR and COC, they would have discovered that the IDTU video was missing."""
25,Richmond,"""Accordingly, the court finds the People’s COC dated [date redacted], to be invalid."""
25,Richmond,"""Due to the People’s failure to turn over the IDTU video, the court finds the COC to be invalid."""
26,Kings,"""The People’s failure to disclose the underlying disciplinary records for the three officers who were listed as potential witnesses, and the People’s failure to establish any due diligence, renders the COC invalid on this ground."""
26,Kings,"""The People further made no efforts of due diligence to ascertain and disclose the ambulance call report to the defense. Therefore, the COC is invalid on this ground."""
26,Kings,"""Conclusory 'due diligence' language is insufficient. Thus, the COC is invalid on this ground."""
26,Kings,"""Finally, the People request that the court forgo dismissal and instead consider a sanction pursuant to CPL 245.80, conflating the standards of CPL 30.30 with those of CPL 245.80. These are wholly different standards."""
27,Kings,"""The People intentionally disregarded that letter, labeling it a waste of time and frivolous, and alleging the letter indicated there would be more issues to follow”."""
27,Kings,"""Besides being exceedingly dismissive, their reasoning defies logic and indicates a lack of understanding of the meaning of due diligence."""
27,Kings,"""In fact, diligence requires that the People act expeditiously to obtain and disclose those items of discovery."""
27,Kings,"""The People’s response offers no valid justification for ignoring the defendant’s request for missing discovery or for the belated disclosure of discoverable material."""
27,Kings,"""Accordingly, the court holds that the People’s certificate of compliance is not valid."""
28,Queens,"""The People’s contention that CPL § 245.10(1) permits the People to file a valid certificate of compliance and statement of readiness, even while withholding materials that are not the subject of a protective order issued by the court pursuant to CPL § 245.70, merely because they have filed, or plan to file, an application for such an order, is inconsistent with the language of CPL § 245.50 pertaining to certificates of compliance, and conflates the discovery statute with the speedy trial statute under CPL § 30.30."""
28,Queens,"""Indeed, the People cannot certify that they have turned over all required discovery materials in existence at the time if there is a pending protective order application seeking a ruling on whether certain otherwise discoverable materials can be withheld or must be disclosed."""
28,Queens,"""Accepting the People’s position here that they could file a valid certificate of compliance and statement of readiness for trial even when they have not even yet moved for a protective order merely because they plan to do so in the future would result in permitting the People to toll speedy trial time while prolonging the withholding of discovery indefinitely."""
28,Queens,"""Therefore, the Court finds that the additional 32 days in the adjournment period ending on [date redacted], which is also the date when the People filed their application for a protective order, is chargeable to the People."""
28,Queens,"""Here, the Court finds that the People’s 20-day delay beyond the court-imposed deadline to respond to the defendant's omnibus motion is chargeable to them."""
29,Queens,"""This Court determines, for reasons more fully explained below, that there is no legal basis to grant any application requesting additional time to comply with discovery obligations filed by the People on [date redacted], and accordingly, any such motion is denied in all respects."""
29,Queens,"""This Court further determines that the Certificate of Compliance filed by the People on [date redacted], was invalid."""
29,Queens,"""Consistent with the recent Court of Appeals decision in People v. Bay, No. 92, [date redacted] N.Y. Slip Op 06407, (N.Y. [date redacted]), and consistent with prior decisions by this Court, the Court determines that under the circumstances herein the People did not exercise due diligence prior to filing of the Certificate of Compliance when they failed to provide the Grand Jury minutes and routinely disclosed materials of police officer witnesses such as [evidence] and memobooks."""
29,Queens,"""Despite the People’s claim that preclusion is an appropriate remedy, based on the totality of the circumstances of this case, this Court is compelled to find that the Certificate of Compliance filed herein is null and void."""
29,Queens,"""Thus, despite the filing of the Certificate of Compliance and Statement of Readiness on [date redacted], the speedy trial clock continued to run."""
30,Queens,"""Here, the People have not provided any explanation for the delay in providing the discoverable materials to the defense."""
30,Queens,"""Such a prolonged, unexplained delay affected their trial readiness during that time period as they could not have proceeded to trial without first turning over this discovery that was in their possession since [date redacted] and filing a supplemental certificate of compliance pursuant to CPL § 245.50(1-a)."""
30,Queens,"""Raw DNA data is discoverable under CPL § 245.20(1)(j)', and not under CPL § 245.20(1)(f) as the People claim."""
30,Queens,"""Additionally, the People’s argument that preclusion of the DNA evidence is the appropriate remedy rather than dismissal of the indictment on speedy trial grounds incorrectly presumes that either the discovery statute or the speedy trial statute applies here when, in fact, both statutes apply."""
30,Queens,"""Here, the Court finds that the People’s 21-day delay beyond the court-imposed deadline to respond to the defendant’s omnibus motion is chargeable to them."""
31,Kings,"""However, the People failed to detail in their supplemental COC or their affirmation in opposition to the defense motion the basis for their delayed discovery."""
31,Kings,"""The People did not make “reasonable inquiries” to ascertain the missing discovery prior to filing the COC, thus invalidating their COC."""
31,Kings,"""Good faith by itself is inadequate where the People fail to use diligence to comply with their discovery obligations."""
31,Kings,"""Moreover, the Court deems the summary disclosure letters without the underlying documents inadequate to comply with CPL 245.20 (1) (k)."""
31,Kings,"""Here the People’s failure to roti all existing disciplinary records, for substantiated and unsubstantiated complaints prior to filing their initial COC renders their COC invalid."""
32,Kings,"""While the court appreciates that oversights can occur, it cannot find that the People acted diligently when they failed to turn over automatic discovery which they had in their possession for over three months while contemporaneously affirming to the court that they had complied with all their discovery obligations."""
32,Kings,"""Accordingly, the defendant’s motion to dismiss the charges on speedy trial grounds pursuant to CPL § 30.30 is hereby granted."""
33,Queens,"""However, the court rejected and returned the People’s filing due to the document having an incorrect docket number."""
33,Queens,"""On [date redacted], the court notified the prosecutor of this correction, and directed the People to refile their COC and SOR."""
33,Queens,"""Although the People filed their COC and SOR with Defendant on [date redacted], the People did not serve their COC and SOR upon court until eleven (11) days later — on [date redacted]."""
33,Queens,"""The court is also not persuaded by the People’s implication that they were ready for trial."""
33,Queens,"""Thus, the People’s readiness for trial was belated and exceeds ninety days."""
34,NY,"""It is quite clear from the record presented that the People did not discharge their CPL 245.20 (2) duty to locate and share discoverable extant materials outside their possession, custody, or control."""
34,NY,"""The People made no timely efforts to obtain the communications between the defendant and the complainant, even though they represented to the arraignment court that the defendant's telephonic communications with the complainant were so incessant and so unwelcome as to warrant bail and a full order of protection not subject to incidental contact."""
34,NY,"""Given the nature and timing of that representation, made [date redacted], this court cannot find that the People complied with their discovery obligations when the communications were not disclosed until [date redacted]."""
34,NY,"""Furthermore, it is unclear to the court how the People could have repeatedly stated ready throughout the intervening months; according to the representations made in their instant response papers, they only requested the text communications when meeting with the complainant in person on [date redacted], after four prior in court statements of readiness and one off-calendar COR."""
34,NY,"""Here, where apparently no efforts were made until the defendant prodded the People, and then disclosure was delayed another month, this court cannot find the People acted with due diligence."""
35,Queens,"""The People make no account for their due diligence or reasonable inquiry into this body camera footage made prior to filing their COC."""
35,Queens,"""This is not prompt remedy to disclose something that was intended to be given automatically by statute."""
35,Queens,"""The People are silent as to 'the explanation for the discovery lapse' or 'the efforts made... to comply with the statutory requirements' prior to their certification."""
35,Queens,"""Without any showing that the People have made any inquiry into the audit trails in the defendant’s case, despite knowing they exist and that they are in their possession, the People have not shown due diligence."""
35,Queens,"""The obligation of trial readiness belongs to the People alone, completely independent of any action or inaction by defense."""
36,NY,"""Therefore, the Court finds that the COC filed on [date redacted] was illusory and did not stop the clock for the purposes of CPL 30.30 calculation."""
36,NY,"""All of these pieces of information, documents, and tangible evidence are discoverable and would be required to be disclosed prior to the filing of a valid COC; failure to do so constitutes a failure to exercise the required due diligence."""
36,NY,"""Simply relying upon the police documentation and failing to investigate their own case and the circumstances of a defendant's seizure by police is a failure of the most basic prosecutorial responsibilities."""
36,NY,"""Failure to make any attempts to locate this video independently from the police, compounded by the entire interaction’s omission from the original discovery disclosure, constitutes a failure to exercise the requisite due diligence."""
36,NY,"""The People have not disclosed any potential impeachment materials, disciplinary records, IAB logs, or CCRB complaints for those officers which constitutes a continued failure to comply with the requirements of CPL §245.20(1)(k)(y)."""
37,Queens,"""The People concede that they failed to turn over these photographs prior to filing their certificate of compliance."""
37,Queens,"""This Court cannot deem these efforts to be the exercise of due diligence."""
37,Queens,"""The filing of a certificate of compliance cannot be deemed complete until the material and information subject to discovery was 'actually produced to the defendant'."""
37,Queens,"""Given these deficiencies in the certificate of compliance, the Court finds that the filing of the certificate of compliance on [date redacted], was not made after the exercise of due diligence and, therefore, was not reasonable under the circumstances."""
37,Queens,"""Accordingly, the Court must conclude that the certificate of compliance with discovery filed on [date redacted], was invalid and the People's concurrent statement of readiness was illusory."""
38,Queens,"""The People could not have announced ready to proceed to trial on the original accusatory instrument because it does not contain “[f]actual allegations of an information [that] give an accused notice sufficient to prepare a defense” and was not “adequately detailed to prevent a defendant from being tried twice for the same offense”."""
38,Queens,"""The People’s argument that alleging any controlled substance, albeit not the correct specific substance, was enough notice to the defendant is unpersuasive."""
38,Queens,"""Without a factually valid accusatory instrument, the People’s statement of readiness accompanying the lab report on [date redacted] was invalid."""
38,Queens,"""The People did not move to supersede their accusatory instrument based on the lab results."""
38,Queens,"""The People are granted a reasonable adjournment when they require “time to call their witnesses and arrange for the recommencement of the case after a defendant is involuntarily returned” (People Muhanimac, 181 AD2d 464 [1% Dept 1992]), but are not entitled to an exclusion when “the only impediment to an announcement of readiness was the absence of a corroborating affidavit” (People v Alfonso, 174 Mise 2d 76 [Crim Ct, Kings County 1997]), or in this case, the absence of a superseding information."""
39,Queens,"""it is the People’s failure to timely provide discovery that has caused the instant problem."""
39,Queens,"""The People, however, filed the certificate of compliance [date redacted], way past the 35th day."""
39,Queens,"""What was discovered was that the People had enough to complete the discovery long before the supplemental certificate was filed."""
39,Queens,"""It is the People’s frankness that proves that the filing of the certificate of compliance was not in good faith."""
39,Queens,"""The Court is constrained to find that the People failed to certify their disclosure and diligence in good faith."""
40,Queens,"""Given these deficiencies in the certificate of compliance, the Court finds that the filing of the certificate of compliance on [date redacted], was not reasonable under the circumstances."""
40,Queens,"""The People claim that they were assured that no other paperwork existed—but assurances from the police department are not sufficient when clearly erroneous."""
40,Queens,"""Furthermore, the belated discovery was in the possession of the People."""
40,Queens,"""Finally, the People inexplicably and erroneously claim that automatic discovery did not require them to share some of the belated discovery regarding Officers [names redacted] memobooks and activity logs—but it’s clear those officers responded to the scene of the alleged collisions and 'have evidence or information relevant' to the charged offenses."""
40,Queens,"""In this case, the Court cannot conclude that the People exercised due diligence to ascertain the existence of material and information subject to discovery before the filing of the initial certificate of compliance."""
41,Kings,"""This reflects lack of the requisite due diligence to ascertain discoverable items before the People filed their COC."""
41,Kings,"""The Court finds the People’s argument unpersuasive, and further finds lack of due diligence therefore bad faith in the filing of the [date redacted], COC."""
41,Kings,"""On [date redacted], the People served and filed a certificate of compliance and a statement of readiness but failed to serve, among other discoverable items, several activity log reports, underlying impeachment materials for officers, scratch arrest report, and failed to diligently request the complaining witness medical records."""
41,Kings,"""The Court finds the non-disclosure of these items invalidates the [date redacted], COC, thus the speedy trial clock continued to run."""
41,Kings,"""To date no supplemental COC has been filed with the Court."""
42,Richmond,"""The Court finds this argument entirely without merit."""
43,Queens,"""Since the People failed to disclose the [evidence] as a part of automatic discovery, the certificate of compliance is illusory."""
43,Queens,"""Since the People have failed to file a valid certificate of compliance, the statement of readiness is illusory."""
44,Kings,"""The People did not turn over any discovery until day 90. This significant fact cannot be overlooked or minimized."""
44,Kings,"""Counsel maintains that '[t]hese materials are still outstanding, belying the prosecution [sic] lack of reasonable diligence in complying with its discovery obligations'."""
44,Kings,"""Notwithstanding that the People’s initial disclosures contained screenshots of Officer [name redacted] responses through the complaining witness’s phone, the People concede that there are many other texts from Officer [name redacted] which were not disclosed."""
44,Kings,"""For their part, the People provide scant details on what efforts the prosecution undertook to ensure that they turned over all discovery and complied with their obligations prior to filing their COC and stating readiness on December 8, the last day of their speedy trial time."""
44,Kings,"""Based on the foregoing, the court finds that the People did not comply with the mandates of Article 245. Their COC of December 8, is, therefore, invalid and did not stop the clock on day 90 of their speedy trial time."""
45,Queens,"""Therefore, this Court invalidated the People’s COC based on belated disclosure of LEOW materials relating to Police Officers [names redacted], on [date redacted]."""
45,Queens,"""However, this Court is now bound by recent holdings of the Appellate Division, Third Department, in People v. [name redacted], and the Appellate Division, Fourth Department, in People v. [name redacted]; see also People v. [name redacted] (“the doctrine of stare decisis requires trial courts in this department to follow precedents set by the Appellate Division of another department until the Court of Appeals or this Court pronounces a contrary rule.”)"""
45,Queens,"""As to the People’s remaining arguments, regarding [evidence] from the deli where the incident allegedly occurred, Defendant’s [evidence], and the [evidence], the Court maintains that the People failed to exercise due diligence in not inquiring about and disclosing these items, all of which are required to be provided with their automatic discovery."""
45,Queens,"""The Court is unpersuaded by the People’s argument that they exercised due diligence, and that Defendant was not prejudiced by the belated disclosure of these items."""
45,Queens,"""Therefore, as to these three items, this Court did not misapprehend matters of fact or law that would warrant reversal of the prior decision, and the People’s motion to reargue as to these items is denied."""
46,NY,"""This Court finds that the 24 days of delay between the court-imposed deadline for the People’s response and the date on which they actually filed it was not reasonable, and is chargeable to the People."""
46,NY,"""Indeed, the People never requested an extension of time to respond."""
46,NY,"""To the contrary, on [date redacted], when the court contacted the People to inquire about their response, the prosecutor declined to reply to the e-mail."""
46,NY,"""And, as a result of the People’s late response, the court was unable to render a decision on Defendant’s motion by the [date redacted] adjournment date."""
46,NY,"""Thus, the 'unpreparedness by the People during . . . the adjournment period directed by the court delayed or prolonged the resolution of [D]efendant’s [] motion'."""
