judge,statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge__cj__court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court
Christopher Chin,Civil Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Bronx County,NYC Criminal Ct - Bronx County,2022,,,,,,
Matthew A Bondy,Civil Court Judge NYC,,2023-01-01,2032-12-31,Bronx County,NYC Criminal Ct - Bronx County,2023,,,,,,
Erik L Gray,Civil Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Bronx County,Bronx County Sup Ct Civil Term,2020,,,,,,
Alvin M Yearwood,Criminal Court Judge NYC,ADM JGE ACT SUP CT JS,2019-01-01,2028-12-31,Bronx County,Bronx County Supreme Court,2003,,,,,,
Daniel Quart,Civil Court Judge NYC,,2023-01-01,2032-12-31,Bronx County,NYC Criminal Ct - Bronx County,2023,,,,,,
Andrea R Krugman,Civil Court Judge NYC,,2024-01-01,2033-12-31,Bronx County,Bronx County Sup Ct Civil Term,2024,,,,,,
Anna Mikhaleva,Civil Court Judge NYC,,2024-01-01,2033-12-31,Bronx County,NYC Criminal Ct - Bronx County,2024,,,,,,
Ralph L Wolf,Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx County,NYC Criminal Ct - Bronx County,2025,,,,,,
Gayle P Roberts,Family Court Judge NYC,ACT SUP CT JUS,2016-03-09,2026-03-08,Bronx County,Bronx County Supreme Court,1997,,,,,,
Eugene Bowen,Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Bronx County,Bronx County Supreme Court,2023,,,,,,
Eunhai G Park,Civil Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Bronx County,Bronx County Supreme Court,2020,,,,,,
Harold E Bahr,Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx County,NYC Criminal Ct - Bronx County,2025,,,,,,
Giyang An,Criminal Court Judge NYC,ACT SUP CT JUS,2022-12-01,2032-11-30,Bronx County,Bronx County Supreme Court,2021,,,,,,
Jane C Tully,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Kings County,Kings Supreme Criminal,2013,,,,,,
Nisha Menon,Family Court Judge NYC,,2023-02-15,2032-12-31,Kings County,Kings Supreme Criminal,2023,,,,,,
Alan M Beckoff,Family Court Judge NYC,,2021-05-01,2027-12-31,Kings County,Kings Supreme Criminal,2008,,,,,,
Jevet Johnson,Criminal Court Judge NYC,,2024-12-17,2033-12-31,Kings County,"NYC Criminal Ct, Kings County",2025,,,,,,
Raymi V Ramseur-Usher,Family Court Judge NYC,,2023-02-15,2032-08-30,Kings County,Kings Supreme Criminal,2023,,,,,,
Carmen A Pacheco,Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2029-12-31,Kings County,"NYC Civil Court, Kings County",2023,Kings,Civil,,,,
Erik S Pitchal,Family Court Judge NYC,,2017-12-27,2027-12-26,Kings County,Kings Supreme Criminal,2013,,,,,,
Eugene M Guarino,Criminal Court Judge NYC,ACT SUP CT JUS,2022-12-01,2032-11-30,Kings County,Kings Supreme Criminal,2016,,,,,,
Kerry J Ward,Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Kings County,"NYC Criminal Ct, Kings County",2019,,,,,,
Phyllis Chu,Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Kings County,Kings Supreme Criminal,2016,,,,,,
Donald Leo,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Kings County,Kings Supreme Criminal,2015,,,,,,
Lauren Esposito,Civil Court Judge NYC,,2024-01-01,2033-12-31,Kings County,"NYC Civil Court, Kings County",2024,,,,,,
Abena Darkeh,Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Kings County,Kings Supreme Criminal,2015,,,,,,
Melody Glover,Family Court Judge NYC,,2022-12-01,2031-11-30,Kings County,Kings Supreme Criminal,2017,,,,,,
Laura R Johnson,Criminal Court Judge NYC,ACT SUP CT JUS,2016-01-01,2025-12-31,Kings County,Kings Supreme Criminal,2013,,,,,,
Margaret W. Martin,Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,Kings County,Kings Supreme Criminal,2017,,,,,,
Robert Hettleman,Family Court Judge NYC,,2022-12-01,2032-11-30,Kings County,Kings Supreme Criminal,2021,,,,,,
Frederick C Arriaga,Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,Kings County,"NYC Criminal Ct, Kings County",2008,,,,,,
Elizabeth N Warin,Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Kings County,Kings Supreme Criminal,2015,,,,,,
Christopher E Whitehair,Criminal Court Judge NYC,,2024-04-04,2028-12-31,Kings County,"NYC Criminal Ct, Kings County",2024,,,,,,
Kacie A Lally,Criminal Court Judge NYC,,2024-09-04,2033-12-31,New York County,New York County Criminal Court,2024,,,,,,
Julieta V Lozano,Criminal Court Judge NYC,,2024-02-26,2027-11-30,New York County,New York County Criminal Court,2024,,,,,,
Marisol Martinez Alonso,Criminal Court Judge NYC,ACT SUP CT JUS,2022-12-01,2032-11-30,New York County,New York County Criminal Court,2018,,,,,,
Simiyon S Haniff,Criminal Court Judge NYC,,2022-10-11,2028-12-31,New York County,New York County Criminal Court,2021,,,,,,
Angela J Badamo,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York County,New York County Criminal Court,2017,,,,,,
Michelle Weber,Criminal Court Judge NYC,,2024-04-04,2033-12-31,New York County,New York County Criminal Court,2024,,,,,,
Suzanne J Adams,Civil Court Judge NYC,ADM JGE ACT SUP CT JS,2018-01-01,2027-12-31,New York County,New York County Supreme Court,2018,,,,,,
Josh E Hanshaft,Civil Court Judge NYC,ACT SUP CT JUS,2017-01-01,2026-12-31,New York County,New York County Criminal Court,2017,,,,,,
Ilana J Marcus,Civil Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York County,New York County Supreme Court,2019,,,,,,
Alice T Tien,Civil Court Judge NYC,,2025-01-01,2034-12-31,New York County,"NYC Civil Ct, New York County",2025,,,,,,
Curtis J Farber,Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,New York County,New York County Criminal Court,2012,,,,,,
Betty Lugo,Civil Court Judge NYC,,2022-01-01,2029-12-31,New York County,"NYC Civil Ct, New York County",2022,,,,,,
Judy H Kim,Civil Court Judge NYC,ACT SUP CT JUS,2017-01-01,2026-12-31,New York County,New York County Supreme Court,2017,,,,,,
Annemarie Jolly,Family Court Judge NYC,ADM JGE ACT SUP CT JS,2021-05-19,2031-05-18,New York County,New York County Family Court,2010,,,,,,
Jeffrey S Zellan,Civil Court Judge NYC,,2022-01-01,2031-12-31,New York County,"NYC Civil Ct, New York County",2022,,,,,,
Leticia M Ramirez,Civil Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,New York County,New York County Supreme Court,2011,,,,,,
Beth Beller,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York County,New York County Criminal Court,2017,,,,,,
Hilary Gingold,Surrogate Court Judge,,2023-01-01,2032-12-31,New York County,New York County Surrogate's Ct,2019,,,,,,
Ariel D Chesler,Civil Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York County,New York County Supreme Court,2019,,,,,,
Emily Morales-Minerva,Civil Court Judge NYC,ACT SUP CT JUS,2017-01-01,2026-12-31,New York County,New York County Supreme Court,2017,,,,,,
Aija M Tingling,Civil Court Judge NYC,ACT SUP CT JUS,2017-01-01,2026-12-31,New York County,New York County Supreme Court,2017,,,,,,
Maria Arias,Family Court Judge NYC,,2019-01-01,2027-12-31,New York County,New York County Family Court,2010,,,,,,
Anna R Lewis,Civil Court Judge NYC,,2020-01-01,2029-12-31,New York County,"NYC Civil Ct, New York County",2020,,,,,,
Kathleen C Waterman-Marshall,Civil Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York County,New York County Supreme Court,2019,,,,,,
Leroy D'souza,Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,New York County,"NYC Civil Ct, New York County",2023,NYC,Civil,,,,
Melissa T Lewis,Criminal Court Judge NYC,ACT SUP CT JUS,2022-12-01,2032-11-30,New York County,New York County Criminal Court,2021,,,,,,
Janet M Mcdonnell,Criminal Court Judge NYC,,2023-02-15,2032-11-30,New York County,New York County Criminal Court,2023,,,,,,
J Machelle Sweeting,Civil Court Judge NYC,ACT SUP CT JUS,2025-01-01,2034-12-31,New York County,New York County Supreme Court,2015,,,,,,
Dana M Catanzaro,Civil Court Judge NYC,,2024-01-01,2033-12-31,New York County,"NYC Civil Ct, New York County",2024,,,,,,
Ann E Scherzer,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York County,New York County Criminal Court,2012,,,,,,
Jose A Padilla Jr,Civil Court Judge NYC,,2025-01-01,2028-12-31,New York County,"NYC Civil Ct, New York County",1995,,,,,,
Lisa S Headley,Civil Court Judge NYC,ACT SUP CT JUS,2016-01-01,2025-12-31,New York County,New York County Supreme Court,2016,,,,,,
Shahabuddeen Ally,Civil Court Judge NYC,ADM JGE ACT SUP CT JS,2019-01-01,2028-12-31,New York County,"NYC Civil Ct, New York County",2019,,,,,,
Peter Passidomo,Family Court Judge NYC,ACT SUP CT JUS,2022-06-11,2030-12-31,New York County,New York County Family Court,2012,,,,,,
Lydia Antoncic,Family Court Judge NYC,,2025-01-01,2034-12-31,New York County,New York County Family Court,2024,,,,,,
Denise M Dominguez,Civil Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,New York County,New York County Supreme Court,2014,,,,,,
Michael L Katz,Civil Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,New York County,"NYC Civil Ct, New York County",2011,,,,,,
James G Clynes,Civil Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,New York County,New York County Supreme Court,2018,,,,,,
Sara R Litman,Criminal Court Judge NYC,ACT SUP CT JUS,2022-12-01,2032-11-30,New York County,New York County Criminal Court,2022,,,,,,
Jeanine R Johnson,Civil Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York County,New York County Supreme Court,2019,,,,,,
Robert Rosenthal,Civil Court Judge NYC,,2020-01-01,2029-12-31,New York County,New York County Criminal Court,2019,,,,,,
Nicholas W Moyne,Civil Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York County,New York County Supreme Court,2019,,,,,,
Yael Wilkofsky,Civil Court Judge NYC,ACT FAM CT JGE,2024-01-01,2033-12-31,New York County,New York County Family Court,2024,,,,,,
Elizabeth Shamahs,Civil Court Judge NYC,,2025-01-01,2030-12-31,New York County,New York County Criminal Court,2025,,,,,,
Linda M Capitti,Family Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,New York County,New York County Supreme Court,2019,,,,,,
Eric Schumacher,Civil Court Judge NYC,ACT SUP CT JUS,2021-01-01,2029-12-31,New York County,New York County Supreme Court,2021,,,,,,
Miriam Best,Criminal Court Judge NYC,ACT SUP CT JUS,2022-12-16,2025-12-31,New York County,New York County Criminal Court,2003,,,,,,
Louis L Nock,Civil Court Judge NYC,,2025-01-01,2028-12-31,New York County,New York County Criminal Court,2015,,,,,,
Paul A Goetz,Civil Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,New York County,"NYC Civil Ct, New York County",2012,,,,,,
Hasa A Kingo,Civil Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,New York County,New York County Supreme Court,2022,,,,,,
Jonathan H Shim,Family Court Judge NYC,,2021-12-01,2028-04-23,New York County,New York County Family Court,2018,,,,,,
Crystal R Villasenor,Civil Court Judge NYC,ACT FAM CT JGE,2025-01-01,2034-12-31,New York County,New York County Family Court,2025,,,,,,
Ashlee Crawford,Civil Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,New York County,"NYC Civil Ct, New York County",2020,,,,,,
Richard Tsai,Civil Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,New York County,New York County Supreme Court,2018,,,,,,
Ilona B Coleman,Civil Court Judge NYC,,2025-01-01,2034-12-31,New York County,New York County Criminal Court,2025,,,,,,
Stephanie Schwartz,Family Court Judge NYC,,2023-01-01,2032-12-31,New York County,New York County Family Court,2021,,,,,,
Rachel S Pauley,Criminal Court Judge NYC,,2022-10-11,2031-12-31,New York County,New York County Criminal Court,2021,,,,,,
Allison R Greenfield,Civil Court Judge NYC,,2025-01-01,2034-12-31,New York County,"NYC Civil Ct, New York County",2025,,,,,,
Rita M Mella,Surrogate Court Judge,,2013-01-01,2026-12-31,New York County,New York County Surrogate's Ct,2007,,,,,,
Zhuo Wang,Civil Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,New York County,New York County Criminal Court,2018,,,,,,
Changyong Li,Civil Court Judge NYC,,2019-01-01,2028-12-31,New York County,"NYC Civil Ct, New York County",2019,,,,,,
Wanda L Licitra,Criminal Court Judge NYC,,2020-01-01,2029-12-31,Queens County,Queens Supreme Criminal Term,2019,,,,,,
Frances Wang,Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,Queens County,Queens Supreme Criminal Term,2017,,,,,,
Germaine Auguste,Criminal Court Judge NYC,ACT SUP CT JUS,2022-10-11,2031-12-31,Queens County,Queens Supreme Criminal Term,2021,,,,,,
Diego A Freire,Criminal Court Judge NYC,,2023-10-31,2031-12-31,Queens County,Queens Supreme Criminal Term,2021,,,,,,
Bruna L Dibiase,Criminal Court Judge NYC,ACT SUP CT JUS,2025-01-01,2029-12-31,Queens County,Queens Supreme Criminal Term,2013,,,,,,
Elenor C Reid,Family Court Judge NYC,,2021-04-01,2031-03-31,Queens County,Queens County Family Court,2017,,,,,,
Mary L Bejarano,Criminal Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,Queens County,Queens Supreme Criminal Term,2017,,,,,,
Michael J Gaffey,Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Queens County,Queens Supreme Criminal Term,2019,,,,,,
John F Zoll,Criminal Court Judge NYC,ACT SUP CT JUS,2012-12-01,2032-11-30,Queens County,Queens Supreme Criminal Term,2010,,,,,,
Toko Serita,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Queens County,"NYC Criminal Ct, Queens Cnty",2005,,,,,,
Christine A Perumal,Family Court Judge NYC,,2024-09-04,2033-12-31,Queens County,Queens County Family Court,2024,,,,,,
Gia L Morris-Kern,Criminal Court Judge NYC,ACT SUP CT JUS,2022-12-01,2032-11-30,Queens County,Queens Supreme Criminal Term,2011,,,,,,
Joanne B Watters,Criminal Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,Queens County,Queens Supreme Criminal Term,2015,,,,,,
Lana Schlesinger,Criminal Court Judge NYC,,2024-12-17,2028-12-31,Queens County,Queens Supreme Criminal Term,2025,,,,,,
Marty Lentz,Criminal Court Judge NYC,,2022-12-16,2033-11-30,Queens County,Queens Supreme Criminal Term,2021,,,,,,
Adetokunbo O Fasanya,Family Court Judge NYC,,2025-01-01,2033-12-31,Queens County,Queens County Family Court,2013,,,,,,
Edward F Daniels,Criminal Court Judge NYC,,2024-04-04,2028-12-31,Queens County,Queens Supreme Criminal Term,2024,,,,,,
Quynda Santacroce,Criminal Court Judge NYC,ACT FAM CT JGE,2021-01-01,2030-12-31,Queens County,Queens County Family Court,2019,,,,,,
Catherine M Didomenico,Family Court Judge NYC,ACT SUP CT JUS,2017-02-01,2027-01-31,Richmond County,Richmond County Family Court,2005,,,,,,
Janet L Mcfarland,Family Court Judge NYC,,2023-01-01,2032-12-31,Richmond County,Richmond County Family Court,2021,,,,,,
John Mcpadden,Criminal Court Judge NYC,,2023-04-19,2032-12-31,Richmond County,Richmond Cnty Supreme Ct-Civil,2023,,,,,,
Guy H Mitchell,Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Bronx County,Bronx County Supreme Court,2015,,,,,,
Alison Hamanjian,Family Court Judge NYC,ACT SUP CT JUS,2024-10-06,2034-10-05,Bronx County,Bronx County Family Court,2017,Bronx,Family,,,,
Fiordaliza A Rodriguez,Family Court Judge NYC,,2025-01-01,2034-12-31,Bronx County,Bronx County Family Court,2015,,,,,,
Jeffrey Rosenblueth,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Bronx County,Bronx County Supreme Court,2017,,,,,,
Gigi N Parris,Family Court Judge NYC,,2022-12-16,2032-09-04,Bronx County,Bronx County Family Court,2021,,,,,,
Sarah P Cooper,Family Court Judge NYC,ACT SUP CT JUS,2019-10-02,2029-10-01,Bronx County,Bronx County Sup Ct Civil Term,2012,,,,,,
Ashley B Black,Family Court Judge NYC,,2021-01-01,2030-06-01,Bronx County,Bronx County Family Court,2020,,,,,,
Daniel M Lewis,Criminal Court Judge NYC,,2024-04-04,2025-12-31,Bronx County,NYC Criminal Ct - Bronx County,2024,,,,,,
Jacob Zelmanovitz,Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings County,"NYC Criminal Ct, Kings County",2025,,,,,,
Abayomi Whint,Civil Court Judge NYC,ACT FAM CT JGE,2025-01-01,2034-12-31,Kings County,Kings Supreme Criminal,2025,,,,,,
Ilana Gruebel,Family Court Judge NYC,,2020-07-01,2030-06-30,Kings County,Kings Supreme Criminal,2010,,,,,,
Linda Wilson,Civil Court Judge NYC,,2024-01-01,2033-12-31,Kings County,"NYC Criminal Ct, Kings County",2024,,,,,,
Pamela P Fynes,Civil Court Judge NYC,,2023-01-01,2032-12-31,Kings County,"NYC Civil Court, Kings County",2023,,,,,,
Tawanna M St Louis,Civil Court Judge NYC,ACT FAM CT JGE,2025-01-01,2034-12-31,Kings County,Kings Supreme Criminal,2025,,,,,,
Odessa Kennedy,Civil Court Judge NYC,,2017-01-01,2026-12-31,Kings County,"NYC Civil Court, Kings County",2017,,,,,,
Maria Aragona,Civil Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,Kings County,Kings County Supreme Court,2021,,,,,,
John T Hecht,Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Kings County,Kings Supreme Criminal,2011,,,,,,
Rosa M Astuto,Family Court Judge NYC,,2025-01-01,2034-12-31,Kings County,Kings Supreme Criminal,2025,,,,,,
Masateru Marubashi,Criminal Court Judge NYC,,2024-12-17,2028-12-31,Kings County,"NYC Criminal Ct, Kings County",2025,,,,,,
Miriam Cyrulnik,Criminal Court Judge NYC,ACT SUP CT JUS,2016-01-01,2025-12-31,Kings County,Kings Supreme Criminal,2003,,,,,,
Hemalee J Patel,Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings County,"NYC Criminal Ct, Kings County",2025,,,,,,
Turquoise Haskin,Civil Court Judge NYC,ACT FAM CT JGE,2025-01-01,2034-12-31,Kings County,Kings Supreme Criminal,2025,,,,,,
Jill R Epstein,Civil Court Judge NYC,,2019-01-01,2028-12-31,Kings County,"NYC Civil Court, Kings County",2019,,,,,,
Bernard J Graham,Surrogate Court Judge,,2024-01-01,2030-12-31,Kings County,Kings County Surrogate's Court,2024,,,,,,
Babatunde I Akowe,Civil Court Judge NYC,,2024-01-01,2033-12-31,Kings County,"NYC Civil Court, Kings County",2024,,,,,,
Ellen E Edwards,Civil Court Judge NYC,,2018-01-01,2027-12-31,Kings County,"NYC Civil Court, Kings County",2018,,,,,,
Rosemarie Montalbano,Surrogate Court Judge,,2022-01-01,2035-12-31,Kings County,Kings County Surrogate's Court,2015,,,,,,
Gregory L Gliedman,Family Court Judge NYC,,2022-12-01,2032-11-30,Kings County,Kings Supreme Criminal,2019,,,,,,
Javier Ortiz,Civil Court Judge NYC,,2024-01-01,2033-12-31,Kings County,"NYC Civil Court, Kings County",2024,,,,,,
Derefim B Neckles,Civil Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Kings County,Kings County Supreme Court,2020,,,,,,
Jacqueline D Williams,Civil Court Judge NYC,ACT SUP CT JUS,2017-01-01,2026-12-31,Kings County,Kings Supreme Criminal,2007,,,,,,
Tehilah Kahan,Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings County,"NYC Criminal Ct, Kings County",2025,,,,,,
Rena Malik,Civil Court Judge NYC,,2024-01-01,2033-12-31,Kings County,"NYC Civil Court, Kings County",2024,,,,,,
Brian Gotlieb,Civil Court Judge NYC,,2023-01-01,2032-12-31,Kings County,"NYC Civil Court, Kings County",2023,,,,,,
Sandra E Roper,Civil Court Judge NYC,,2018-01-01,2026-12-31,Kings County,"NYC Civil Court, Kings County",2018,,,,,,
Gilbert A Taylor,Family Court Judge NYC,ACT SUP CT JUS,2022-08-31,2032-08-30,Kings County,Kings Supreme Criminal,2016,Kings,Family,,,,
Joshua Glick,Criminal Court Judge NYC,,2021-08-11,2025-12-31,Kings County,"NYC Criminal Ct, Kings County",2021,,,,,,
Janice Robinson,Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings County,"NYC Criminal Ct, Kings County",2025,,,,,,
Monique J Holaman,Civil Court Judge NYC,,2024-01-01,2033-12-31,Kings County,"NYC Civil Court, Kings County",2024,,,,,,
Nancy F Carrington,Criminal Court Judge NYC,,2024-09-04,2025-12-31,Kings County,"NYC Criminal Ct, Kings County",2024,,,,,,
Norma J Jennings,Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings County,"NYC Civil Court, Kings County",2019,,,,,,
Dawn M Orsatti,Family Court Judge NYC,,2025-01-01,2034-12-31,Kings County,Kings Supreme Criminal,2025,,,,,,
Alexis N Riley,Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings County,"NYC Criminal Ct, Kings County",2025,,,,,,
Olufunmilola Oguntun Waterman,Civil Court Judge NYC,,2024-01-01,2033-12-31,Kings County,"NYC Civil Court, Kings County",2024,,,,,,
Sherveal Mimes,Civil Court Judge NYC,,2023-01-01,2032-12-31,Kings County,"NYC Civil Court, Kings County",2023,,,,,,
Jung Park,Criminal Court Judge NYC,,2023-04-19,2032-12-31,Kings County,"NYC Criminal Ct, Kings County",2023,,,,,,
Carolina Holderness,Criminal Court Judge NYC,ACT SUP CT JUS,2021-12-31,2030-12-31,Kings County,Kings Supreme Criminal,2021,,,,,,
Devin Robinson,Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Kings County,"NYC Criminal Ct, Kings County",2023,,,,,,
Marva Claudette Henry,Civil Court Judge NYC,,2024-01-01,2033-12-31,New York County,New York County Criminal Court,2024,,,,,,
Jonathan Svetkey,Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2025-12-31,New York County,New York County Criminal Court,2019,,,,,,
Felicia A Mennin,Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2028-12-31,New York County,New York County Criminal Court,2008,,,,,,
Althea Emeldia Drysdale,Criminal Court Judge NYC,ACT SUP CT JUS,2016-01-01,2025-12-31,New York County,New York County Criminal Court,2015,,,,,,
Beverly S Tatham,Civil Court Judge NYC,,2023-01-01,2032-12-31,New York County,New York County Criminal Court,2023,,,,,,
Tamiko A Amaker,Criminal Court Judge NYC,ADMNV JGE,2017-01-01,2026-12-31,New York County,New York County Criminal Court,2010,,,,,,
Cori H Weston,Criminal Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,New York County,New York County Criminal Court,2016,,,,,,
Betsey Jean-Jacques,Civil Court Judge NYC,ACT FAM CT JGE,2024-01-01,2033-12-31,New York County,New York County Family Court,2024,,,,,,
Elena Baron,Civil Court Judge NYC,,2018-01-01,2027-12-31,New York County,"NYC Civil Ct, New York County",2018,,,,,,
Tandra L Dawson,Family Court Judge NYC,ACT SUP CT JUS,2025-02-10,2026-12-31,New York County,"NYC Civil Ct, New York County",1998,,,,,,
Srividya Pappachan,Criminal Court Judge NYC,,2022-10-11,2029-12-31,Queens County,Queens Supreme Criminal Term,2021,,,,,,
Michael J Yavinsky,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Queens County,Queens Supreme Criminal Term,2009,,,,,,
Margaret Morgan,Family Court Judge NYC,,2015-12-29,2025-12-27,Queens County,Queens County Family Court,2015,,,,,,
Monica Shulman,Family Court Judge NYC,,2017-12-29,2027-12-28,Queens County,Queens County Family Court,2016,,,,,,
Mark M Kagan,Civil Court Judge NYC,,2025-01-01,2034-12-31,Queens County,"NYC Civil Court, Queens County",2025,,,,,,
Lisa J Friederwitzer,Family Court Judge NYC,,2020-01-04,2030-01-03,Queens County,Queens County Family Court,2018,,,,,,
Stephanie L Zaro,Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2025-12-31,Queens County,Queens Supreme Criminal Term,2008,,,,,,
Connie Gonzalez,Family Court Judge NYC,,2025-01-01,2034-12-31,Queens County,Queens County Family Court,2015,,,,,,
Patrick H Torres,Civil Court Judge NYC,,2023-01-01,2032-12-31,Queens County,"NYC Civil Court, Queens County",2023,,,,,,
Jennifer A Tubridy,Criminal Court Judge NYC,,2023-02-15,2025-12-31,Queens County,Queens Supreme Criminal Term,2023,,,,,,
Alicea Elloras,Family Court Judge NYC,ACT SUP CT JUS,2019-03-03,2029-03-02,Queens County,Queens County Family Court,2015,Queens,Family,,,,
Jasmine Norman,City Court Judge,,2024-08-30,2030-08-29,Albany County,Watervliet City Court,2024,,,,,,
Thomas E Lamb,City Court Judge,,2023-01-01,2028-12-31,Albany County,Watervliet City Court,1999,,,,,,
Amy E Joyce,Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Albany County,Albany County Family Court,2020,,,,,,
